"","Short_Name","the_geom","Address","Lat","Long","Grade_Cat","AM_Bell_1415","PM_Bell_1415","AM_Bell_1516","PM_Bell_1415.1","changedBell"
"559","SOLOMON","POINT (-87.72404263322767 41.993942332486824)","6206 N Hamlin Ave",41.993942,-87.724043,"ES",NA,NA,NA,NA,0
"560","SOLORIO HS","POINT (-87.71105882230168 41.79520055470527)","5400 S St Louis Ave",41.795201,-87.711059,"HS","8:00 AM","3:23 PM","8:00 AM","3:23 PM",2
"561","SOUTH LOOP","POINT (-87.62861500404436 41.86687450554005)","1212 S Plymouth Ct",41.866875,-87.628615,"ES",NA,NA,NA,NA,0
"562","SOUTH SHORE","POINT (-87.59039610192795 41.767755108445684)","1415 E 70th St",41.767755,-87.590396,"ES",NA,NA,NA,NA,0
"563","SOUTH SHORE INTL HS","POINT (-87.57635263812654 41.7587916625376)","1955 E 75th St",41.758792,-87.576353,"HS","8:00 AM","3:30 PM","8:00 AM","3:30 PM",2
"564","SOUTHSIDE HS","POINT (-87.67594676755051 41.759852428041924)","7342 S Hoyne Ave",41.759852,-87.675947,"HS","8:45 AM","4:00 PM","9:00 AM","4:00 PM",1
"565","SPENCER","POINT (-87.75044473139498 41.884876397970274)","214 N Lavergne Ave",41.884876,-87.750445,"ES",NA,NA,NA,NA,0
"566","SPRY ES","POINT (-87.70018447189595 41.84774672195404)","2400 S Marshall Blvd",41.847747,-87.700184,"ES",NA,NA,NA,NA,0
"567","SPRY HS","POINT (-87.6989461062751 41.847761694510176)","2400 S Marshall Blvd",41.847762,-87.698946,"HS",NA,NA,NA,NA,0
"568","STAGG","POINT (-87.64921669330236 41.7589247318467)","7424 S Morgan St",41.758925,-87.649217,"ES",NA,NA,NA,NA,0
"569","STEINMETZ HS","POINT (-87.78351523303839 41.93563358717894)","3030 N Mobile Ave",41.935634,-87.783515,"HS",NA,NA,NA,NA,0
"570","STEM","POINT (-87.66496913288216 41.868575878810084)","1522 W Fillmore St",41.868576,-87.664969,"ES",NA,NA,NA,NA,0
"571","STEVENSON","POINT (-87.73166568474505 41.7471068786288)","8010 S Kostner Ave",41.747107,-87.731666,"ES",NA,NA,NA,NA,0
"572","STOCK","POINT (-87.81419465462673 42.01689164094716)","7507 W Birchwood Ave",42.016892,-87.814195,"ES",NA,NA,NA,NA,0
"573","STONE","POINT (-87.68479278594937 41.99535905120101)","6239 N Leavitt St",41.995359,-87.684793,"ES","8:00 AM","3:00 PM","8:00 AM","3:00 PM",2
"574","STOWE","POINT (-87.71331750109282 41.91193807880035)","3444 W Wabansia Ave",41.911938,-87.713318,"ES",NA,NA,NA,NA,0
"575","SUDER","POINT (-87.67763611213762 41.88321451695421)","2022 W Washington Blvd",41.883215,-87.677636,"ES",NA,NA,NA,NA,0
"576","SULLIVAN HS","POINT (-87.6691921456409 42.00268755820679)","6631 N Bosworth Ave",42.002688,-87.669192,"HS","8:00 AM","3:15 PM","8:00 AM","3:15 PM",2
"577","SUMNER","POINT (-87.73352395133709 41.870828378080496)","4320 W 5th Ave",41.870828,-87.733524,"ES",NA,NA,NA,NA,0
"578","SUTHERLAND","POINT (-87.67682117251097 41.711445070109775)","10015 S Leavitt St",41.711445,-87.676821,"ES",NA,NA,NA,NA,0
"579","SWIFT","POINT (-87.65829607973969 41.98913906014746)","5900 N Winthrop Ave",41.989139,-87.658296,"ES",NA,NA,NA,NA,0
"580","TAFT HS","POINT (-87.79154724889433 41.982960985797455)","6530 W Bryn Mawr Ave",41.982961,-87.791547,"HS","7:45 AM","3:00 PM","7:45 AM","3:00 PM",2
"581","TALCOTT","POINT (-87.67372272417069 41.8924046111448)","1840 W Ohio St",41.892405,-87.673723,"ES",NA,NA,NA,NA,0
"582","TALMAN","POINT (-87.69026083933244 41.79404805043551)","5450 S Talman Ave",41.794048,-87.690261,"ES",NA,NA,NA,NA,0
"583","TANNER","POINT (-87.6067910349395 41.76067263482151)","7350 S Evans Ave",41.760673,-87.606791,"ES",NA,NA,NA,NA,0
"584","TARKINGTON","POINT (-87.70644464815099 41.76440707535929)","3330 W 71st St",41.764407,-87.706445,"ES",NA,NA,NA,NA,0
"585","TAYLOR","POINT (-87.53297076729864 41.71547037534326)","9912 S Avenue H",41.71547,-87.532971,"ES",NA,NA,NA,NA,0
